selling_price,km_driven,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,fuel_CNG,fuel_Diesel,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,car_age
450.0,145.5,0,1,23.4,1248.0,74.0,5,0,1,0,1,0,12
370.0,120.0,0,2,21.14,1498.0,103.52,5,0,1,0,1,0,12
158.0,140.0,0,3,17.7,1497.0,78.0,5,0,0,1,1,0,20
225.0,127.0,0,1,23.0,1396.0,90.0,5,0,1,0,1,0,16
130.0,120.0,0,1,16.1,1298.0,88.2,5,0,0,1,1,0,19
440.0,45.0,0,1,20.14,1197.0,81.86,5,0,0,1,1,0,9
96.0,175.0,0,1,17.3,1061.0,57.5,5,0,0,0,1,0,19
45.0,5.0,0,2,16.1,796.0,37.0,4,0,0,1,1,0,25
350.0,90.0,0,1,23.59,1364.0,67.1,5,0,1,0,1,0,15
200.0,169.0,0,1,20.0,1399.0,68.1,5,0,1,0,1,0,13
500.0,68.0,0,2,19.01,1461.0,108.45,5,0,1,0,1,0,12
92.0,100.0,0,2,17.3,993.0,60.0,5,0,0,1,1,0,21
280.0,140.0,0,2,19.3,1248.0,73.9,5,0,1,0,1,0,17
180.0,90.0,0,2,18.9,1061.0,67.0,5,0,0,1,1,0,17
400.0,40.0,0,1,18.15,1198.0,82.0,5,0,0,1,1,0,10
778.0,70.0,0,2,24.52,1248.0,88.5,7,0,1,0,1,0,10
500.0,53.0,0,2,23.0,1396.0,90.0,5,0,1,0,1,0,14
150.0,80.0,0,2,19.7,796.0,46.3,5,0,0,1,1,0,24
680.0,100.0,0,1,22.54,1396.0,88.73,5,0,1,0,1,0,10
174.0,100.0,0,2,21.0,1461.0,64.1,5,0,1,0,1,0,15
950.0,50.0,0,1,25.5,1498.0,98.6,5,0,1,0,1,0,9
525.0,40.0,0,1,26.59,1248.0,74.0,5,0,1,0,1,0,11
600.0,72.0,0,1,21.5,1248.0,88.8,5,0,1,0,1,0,14
500.0,35.0,0,1,20.3,1199.0,83.81,5,0,0,1,1,0,8
575.0,45.0,0,1,21.4,1197.0,83.1,5,0,0,1,1,0,10
275.0,28.0,0,1,24.7,796.0,47.3,5,0,0,1,1,0,9
300.0,70.0,0,1,18.2,1248.0,73.8,7,0,1,0,1,0,13
220.0,120.0,0,1,18.9,1061.0,67.0,5,0,0,1,1,0,17
254.999,25.0,0,1,16.8,796.0,34.2,8,0,0,1,1,0,8
670.0,70.0,0,1,24.3,1248.0,88.5,5,0,1,0,1,0,9
150.0,35.0,0,2,14.0,796.0,35.0,5,0,0,1,1,0,14
730.0,2.388,0,1,18.6,1197.0,81.83,5,0,0,1,1,0,8
650.0,16.2,0,1,24.3,1248.0,88.5,5,0,1,0,1,0,9
330.0,10.0,0,2,33.44,796.0,40.3,4,1,0,0,1,0,7
366.0,15.0,0,1,23.95,998.0,67.1,5,0,0,1,1,0,7
1149.0,5.0,0,1,17.0,1591.0,121.3,5,0,0,1,1,0,7
150.0,42.0,0,1,20.63,1198.0,67.0,5,0,0,1,1,0,10
425.0,60.0,0,2,13.93,2179.0,138.03,7,0,1,0,1,0,15
150.0,76.0,0,1,16.1,796.0,37.0,4,0,0,1,1,0,14
2100.0,5.0,1,1,16.0,1368.0,160.77,5,0,0,1,1,0,7
925.0,28.9,0,1,17.8,1497.0,117.3,5,0,0,1,0,0,8
425.0,86.3,0,1,16.8,1497.0,116.3,5,0,0,1,0,0,13
675.0,23.3,1,1,18.5,1197.0,83.14,5,0,0,1,0,0,8
819.999,32.6,0,1,24.3,1248.0,88.5,5,0,1,0,0,0,8
390.0,10.3,0,1,23.95,998.0,67.05,5,0,0,1,0,0,8
1500.0,77.0,0,1,12.55,2982.0,168.5,7,0,1,0,0,0,12
700.0,99.0,0,1,12.99,2494.0,100.0,7,0,1,0,0,0,13
1450.0,27.8,1,2,14.8,2143.0,120.7,5,0,1,0,0,0,12
425.0,49.8,0,1,24.7,1498.0,98.63,5,0,1,0,0,0,11
1090.0,151.0,0,1,13.5,2477.0,175.56,7,0,1,0,0,0,13
600.0,54.7,0,1,26.0,1498.0,98.6,5,0,1,0,0,0,11
850.0,64.0,0,1,20.65,1462.0,103.25,5,0,0,1,0,0,8
525.0,63.0,0,1,27.3,1498.0,98.6,5,0,1,0,0,0,11
1650.0,127.7,1,2,11.36,2755.0,171.5,7,0,1,0,0,0,10
950.0,99.0,0,1,12.99,2494.0,100.6,7,0,1,0,0,0,10
1750.0,33.9,1,2,17.68,1968.0,174.33,5,0,1,0,0,0,13
1590.0,25.0,1,1,14.28,1798.0,138.03,5,0,0,1,0,0,8
1689.999,50.0,1,1,18.53,1968.0,187.74,5,0,1,0,0,0,13
1425.0,59.0,1,1,14.84,2143.0,170.0,5,0,1,0,0,0,13
265.0,120.0,0,1,21.12,1248.0,88.8,5,0,1,0,1,0,15
190.0,110.0,0,3,20.36,1197.0,78.9,5,0,0,1,1,0,15
425.0,60.0,0,1,21.27,1396.0,88.76,5,0,1,0,1,0,13
630.0,147.0,0,2,26.59,1248.0,74.0,5,0,1,0,1,0,11
600.0,25.0,0,3,18.16,1196.0,86.8,5,0,0,1,1,0,9
650.0,30.0,0,1,21.4,1197.0,83.1,5,0,0,1,1,0,7
540.0,40.0,0,1,22.0,1498.0,108.495,5,0,1,0,1,0,10
630.0,135.0,0,1,25.1,1498.0,98.6,5,0,1,0,1,0,11
448.0,30.0,1,1,20.51,998.0,67.0,5,0,0,1,1,0,8
500.0,80.0,0,1,21.66,1498.0,108.62,5,0,1,0,1,0,9
745.0,70.0,0,1,24.3,1248.0,88.5,5,0,1,0,1,0,10
1025.0,9.85,1,1,24.3,1248.0,88.5,5,0,1,0,1,0,7
235.0,60.0,0,2,20.36,1197.0,78.9,5,0,0,1,1,0,15
630.0,70.0,0,1,25.2,1248.0,74.0,5,0,1,0,1,0,10
1700.0,78.0,0,2,12.55,2982.0,168.5,7,0,1,0,1,0,11
450.0,120.0,0,2,22.9,1248.0,74.0,5,0,1,0,1,0,13
450.0,120.0,0,2,16.02,1373.0,93.7,7,0,0,1,1,0,14
450.0,170.0,0,1,20.54,1598.0,103.6,5,0,1,0,1,0,13
1200.0,140.0,0,1,12.99,2494.0,100.6,8,0,1,0,1,0,10
610.0,90.0,0,1,22.77,1498.0,98.59,5,0,1,0,1,0,11
2500.0,30.0,1,2,15.71,1998.0,189.0,5,0,0,1,1,0,10
484.999,10.0,0,1,23.1,998.0,67.04,5,0,0,1,0,0,9
275.0,49.0,0,1,19.02,1198.0,67.05,5,0,0,1,0,0,10
315.0,32.0,0,1,24.7,796.0,47.3,5,0,0,1,0,0,10
